layer,feature,feature_id,graph_count,form_count,forms,families
0,3335,L0_F3335,1,1,explicit,addition
0,3429,L0_F3429,1,1,applied,multiplication
0,5128,L0_F5128,1,1,applied,multiplication
0,5406,L0_F5406,1,1,applied,subtraction
0,6264,L0_F6264,1,1,implicit,addition
0,7140,L0_F7140,1,1,applied,multiplication
0,16167,L0_F16167,1,1,applied,multiplication
0,16192,L0_F16192,1,1,applied,subtraction
1,1634,L1_F1634,1,1,applied,addition
1,4757,L1_F4757,1,1,applied,subtraction
1,9741,L1_F9741,1,1,applied,subtraction
1,9891,L1_F9891,1,1,implicit,addition
2,9374,L2_F9374,1,1,applied,subtraction
3,35,L3_F35,1,1,explicit,subtraction
4,4963,L4_F4963,1,1,explicit,addition
4,6632,L4_F6632,1,1,explicit,subtraction
4,9024,L4_F9024,1,1,applied,addition
4,9777,L4_F9777,1,1,explicit,subtraction
4,11636,L4_F11636,1,1,implicit,addition
4,13911,L4_F13911,1,1,applied,subtraction
5,562,L5_F562,1,1,applied,addition
5,8259,L5_F8259,1,1,applied,addition
6,1489,L6_F1489,1,1,explicit,multiplication
6,9865,L6_F9865,1,1,applied,multiplication
7,2318,L7_F2318,1,1,implicit,addition
7,4776,L7_F4776,1,1,implicit,addition
7,13828,L7_F13828,1,1,applied,addition
8,9758,L8_F9758,1,1,explicit,subtraction
9,65,L9_F65,1,1,applied,subtraction
9,12151,L9_F12151,1,1,applied,subtraction
10,2166,L10_F2166,1,1,applied,addition
12,188,L12_F188,1,1,applied,multiplication
12,6951,L12_F6951,1,1,implicit,addition
12,12493,L12_F12493,1,1,implicit,addition
12,13062,L12_F13062,1,1,applied,multiplication
13,3243,L13_F3243,1,1,explicit,addition
13,12667,L13_F12667,1,1,applied,addition
13,13565,L13_F13565,1,1,applied,addition
14,3659,L14_F3659,1,1,applied,addition
14,7567,L14_F7567,1,1,implicit,addition
15,10081,L15_F10081,1,1,applied,subtraction
15,16014,L15_F16014,1,1,explicit,addition
16,8401,L16_F8401,1,1,explicit,addition
17,539,L17_F539,1,1,applied,subtraction
17,5318,L17_F5318,1,1,applied,addition
18,3012,L18_F3012,1,1,applied,subtraction
18,6065,L18_F6065,1,1,applied,subtraction
18,7496,L18_F7496,1,1,explicit,addition
18,8757,L18_F8757,1,1,explicit,addition
18,9876,L18_F9876,1,1,explicit,subtraction
18,10473,L18_F10473,1,1,applied,addition
18,12918,L18_F12918,1,1,applied,multiplication
18,13292,L18_F13292,1,1,explicit,addition
18,13696,L18_F13696,1,1,explicit,addition
18,14030,L18_F14030,1,1,applied,subtraction
18,14111,L18_F14111,1,1,explicit,addition
18,14961,L18_F14961,1,1,applied,subtraction
19,864,L19_F864,1,1,explicit,addition
19,1752,L19_F1752,1,1,applied,subtraction
19,2665,L19_F2665,1,1,explicit,addition
19,4041,L19_F4041,1,1,applied,multiplication
19,9773,L19_F9773,1,1,explicit,subtraction
19,12116,L19_F12116,1,1,explicit,addition
19,13246,L19_F13246,1,1,applied,subtraction
19,14265,L19_F14265,1,1,applied,multiplication
19,16171,L19_F16171,1,1,implicit,addition
20,415,L20_F415,1,1,explicit,addition
20,1441,L20_F1441,1,1,explicit,subtraction
20,3370,L20_F3370,1,1,explicit,addition
20,3610,L20_F3610,1,1,explicit,addition
20,4154,L20_F4154,1,1,explicit,addition
20,4347,L20_F4347,1,1,explicit,addition
20,4403,L20_F4403,1,1,explicit,subtraction
20,7213,L20_F7213,1,1,explicit,addition
20,7939,L20_F7939,1,1,explicit,addition
20,8466,L20_F8466,1,1,explicit,addition
20,8810,L20_F8810,1,1,explicit,addition
20,10007,L20_F10007,1,1,applied,subtraction
20,10258,L20_F10258,1,1,explicit,subtraction
20,11603,L20_F11603,1,1,explicit,addition
20,11937,L20_F11937,1,1,explicit,addition
20,12233,L20_F12233,1,1,applied,subtraction
20,14012,L20_F14012,1,1,explicit,addition
20,14337,L20_F14337,1,1,explicit,addition
20,16111,L20_F16111,1,1,explicit,multiplication
21,1872,L21_F1872,1,1,explicit,addition
21,3020,L21_F3020,1,1,explicit,addition
21,4963,L21_F4963,1,1,applied,multiplication
21,5623,L21_F5623,1,1,applied,addition
21,11564,L21_F11564,1,1,applied,addition
21,15300,L21_F15300,1,1,applied,multiplication
22,1677,L22_F1677,1,1,applied,multiplication
22,3775,L22_F3775,1,1,explicit,addition
22,9744,L22_F9744,1,1,applied,multiplication
22,10031,L22_F10031,1,1,explicit,subtraction
23,363,L23_F363,1,1,explicit,subtraction
23,841,L23_F841,1,1,applied,addition
23,1547,L23_F1547,1,1,explicit,addition
23,2847,L23_F2847,1,1,applied,multiplication
23,4656,L23_F4656,1,1,explicit,addition
23,6211,L23_F6211,1,1,applied,multiplication
23,6277,L23_F6277,1,1,applied,multiplication
23,6819,L23_F6819,1,1,applied,subtraction
23,7744,L23_F7744,1,1,applied,subtraction
23,8887,L23_F8887,1,1,applied,subtraction
23,9192,L23_F9192,1,1,applied,subtraction
23,9834,L23_F9834,1,1,explicit,addition
23,11940,L23_F11940,1,1,explicit,addition
23,12265,L23_F12265,1,1,explicit,addition
23,13674,L23_F13674,1,1,applied,subtraction
